symbol,name,industry,index_memberships
EIMCOELECO,Eimco Elecon (India) Limited,,
EKC,Everest Kanto Cylinder Limited,,
ELANTAS,Elantas Beck India Limited,,
ELCIDIN,EL CID Investments Limited,,
ELDEHSG,Eldeco Housing And Industries Limited,,
ELECON,Elecon Engineering Company Limited,Capital Goods,NIFTY500
ELECTCAST,Electrosteel Castings Limited,,
ELECTHERM,Electrotherm (India) Limited,,
ELGIEQUIP,Elgi Equipments Limited,Capital Goods,NIFTY500
ELGIRUBCO,Elgi Rubber Company Limited,,
ELIN,Elin Electronics Limited,,
ELITECON,Elitecon International Limited,,
ELLEN,Ellenbarrie Industrial Gases Limited,,
ELPROINTL,Elpro International Limited,,
EMAMILTD,Emami Limited,Fast Moving Consumer Goods,NIFTY500
EMAMIREAL,Emami Realty Limited,,
EMBDL,Embassy Developments Limited,,
EMCURE,Emcure Pharmaceuticals Limited,Healthcare,NIFTY500
EMIL,Electronics Mart India Limited,,
EMKAY,Emkay Global Financial Services Limited,,
EMMVEE,Emmvee Photovoltaic Power Limited,Capital Goods,NIFTY500
EMSLIMITED,EMS Limited,,
EMUDHRA,eMudhra Limited,,
ENDURANCE,Endurance Technologies Limited,Automobile and Auto Components,NIFTY500
ENERGYDEV,Energy Development Company Limited,,
ENGINERSIN,Engineers India Limited,Construction,NIFTY500
ENIL,Entertainment Network (India) Limited,,
ENRIN,Siemens Energy India Limited,Capital Goods,NIFTY500
ENTERO,Entero Healthcare Solutions Limited,,
EPACK,EPACK Durable Limited,,
EPACKPEB,EPack Prefab Technologies Limited,,
EPIGRAL,Epigral Limited,,
EPL,EPL Limited,,
EQUITASBNK,Equitas Small Finance Bank Limited,,
ERIS,Eris Lifesciences Limited,Healthcare,NIFTY500
ESABINDIA,Esab India Limited,,
ESCORTS,Escorts Kubota Limited,Capital Goods,NIFTY500
ESSARSHPNG,Essar Shipping Limited,,
ESSENTIA,Integra Essentia Limited,,
ESTER,Ester Industries Limited,,
ETERNAL,ETERNAL LIMITED,Consumer Services,NIFTY50|NIFTY500
ETHOSLTD,Ethos Limited,,
EUREKAFORB,Eureka Forbes Limited,,
EUROBOND,Euro Panel Products Limited,,
EUROPRATIK,Euro Pratik Sales Limited,,
EVEREADY,Eveready Industries India Limited,,
EXCELINDUS,Excel Industries Limited,,
EXCELSOFT,Excelsoft Technologies Limited,,
EXICOM,Exicom Tele-Systems Limited,,
EXIDEIND,Exide Industries Limited,Automobile and Auto Components,NIFTY500
EXPLEOSOL,Expleo Solutions Limited,,
EXXARO,Exxaro Tiles Limited,,
FABTECH,Fabtech Technologies Limited,,
FACT,Fertilizers and Chemicals Travancore Limited,Chemicals,NIFTY500
FAZE3Q,Faze Three Limited,,
FCL,Fineotex Chemical Limited,,
FCSSOFT,FCS Software Solutions Limited,,
FDC,FDC Limited,,
FEDDERSHOL,Fedders Holding Limited,,
FEDERALBNK,The Federal Bank  Limited,Financial Services,NIFTY500
FEDFINA,Fedbank Financial Services Limited,,
FERMENTA,Fermenta Biotech Limited,,
FIBERWEB,Fiberweb (India) Limited,,
FIEMIND,Fiem Industries Limited,,
FILATEX,Filatex India Limited,,
FILATFASH,Filatex Fashions Limited,,
FINCABLES,Finolex Cables Limited,Capital Goods,NIFTY500
FINEORG,Fine Organic Industries Limited,,
FINKURVE,Finkurve Financial Services Limited,,
FINOPB,Fino Payments Bank Limited,,
FINPIPE,Finolex Industries Limited,,
FIRSTCRY,Brainbees Solutions Limited,Consumer Services,NIFTY500
FISCHER,Fischer Medical Ventures Limited,,
FIVESTAR,Five-Star Business Finance Limited,Financial Services,NIFTY500
FLAIR,Flair Writing Industries Limited,,
FLUOROCHEM,Gujarat Fluorochemicals Limited,Chemicals,NIFTY500
FMGOETZE,Federal-Mogul Goetze (India) Limited.,,
FOODSIN,Foods & Inns Limited,,
FORCEMOT,FORCE MOTORS LTD,Automobile and Auto Components,NIFTY500
FORTIS,Fortis Healthcare Limited,Healthcare,NIFTY500
FOSECOIND,Foseco India Limited,,
FRACTAL,Fractal Analytics Limited,,
FRONTSP,Frontier Springs Limited,,
FSL,Firstsource Solutions Limited,Services,NIFTY500
FUSION,Fusion Finance Limited,,
GABRIEL,Gabriel India Limited,Automobile and Auto Components,NIFTY500
GAEL,Gujarat Ambuja Exports Limited,,
GAIL,GAIL (India) Limited,Oil Gas & Consumable Fuels,NIFTY500
GALAPREC,Gala Precision Engineering Limited,,
GALAXYSURF,Galaxy Surfactants Limited,,
GALLANTT,Gallantt Ispat Limited,Capital Goods,NIFTY500
GANDHAR,Gandhar Oil Refinery (India) Limited,,
GANDHITUBE,Gandhi Special Tubes Limited,,
GANECOS,Ganesha Ecosphere Limited,,
GANESHCP,Ganesh Consumer Products Limited,,
GANESHHOU,GANESH HOUSING LIMITED,,
GANGAFORGE,Ganga Forging Limited,,
GANGESSECU,Ganges Securities Limited,,
GARFIBRES,Garware Technical Fibres Limited,,
GARUDA,Garuda Construction and Engineering Limited,,
GATEWAY,Gateway Distriparks Limited,,
GAYAHWS,Gayatri Highways Limited,,
GCSL,Gretex Corporate Services Limited,,
GEEKAYWIRE,Geekay Wires Limited,,
GEMAROMA,Gem Aromatics Limited,,
GENCON,Generic Engineering Construction and Projects Limited,,
GENESYS,Genesys International Corporation Limited,,
GENUSPAPER,Genus Paper & Boards Limited,,
GENUSPOWER,Genus Power Infrastructures Limited,,
GEOJITFSL,Geojit Financial Services Limited,,
GESHIP,The Great Eastern Shipping Company Limited,Services,NIFTY500
GFLLIMITED,GFL Limited,,
GHCL,GHCL Limited,,
GHCLTEXTIL,GHCL Textiles Limited,,
GICHSGFIN,GIC Housing Finance Limited,,
GICL,Globe International Carriers Limited,,
GICRE,General Insurance Corporation of India,Financial Services,NIFTY500
GILLANDERS,Gillanders Arbuthnot & Company Limited,,
GILLETTE,Gillette India Limited,Fast Moving Consumer Goods,NIFTY500
GIPCL,Gujarat Industries Power Company Limited,,
GKENERGY,GK Energy Limited,,
GKSL,Gujarat Kidney And Super Speciality Limited,,
GKWLIMITED,GKW Limited,,
GLAND,Gland Pharma Limited,Healthcare,NIFTY500
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare,NIFTY500
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare,NIFTY500
GLFL,Gujarat Lease Financing Limited,,
GLOBAL,Global Education Limited,,
GLOBALE,Globale Tessile Limited,,
GLOBALVECT,Global Vectra Helicorp Limited,,
GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,,
GLOBECIVIL,Globe Civil Projects Limited,,
GLOBUSSPR,Globus Spirits Limited,,
GLOSTERLTD,Gloster Limited,,
GMBREW,GM Breweries Limited,,
GMDCLTD,Gujarat Mineral Development Corporation Limited,Metals & Mining,NIFTY500
GMMPFAUDLR,GMM Pfaudler Limited,,
GMRAIRPORT,GMR AIRPORTS LIMITED,Services,NIFTY500
GMRP&UI,GMR Power and Urban Infra Limited,,
GNA,GNA Axles Limited,,
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,,
GNRL,Gujarat Natural Resources Limited,,
GOACARBON,Goa Carbon Limited,,
GOCLCORP,GOCL Corporation Limited,,
GOCOLORS,Go Fashion (India) Limited,,
GODAVARIB,Godavari Biorefineries Limited,,
GODFRYPHLP,Godfrey Phillips India Limited,Fast Moving Consumer Goods,NIFTY500
GODIGIT,Go Digit General Insurance Limited,Financial Services,NIFTY500
GODREJAGRO,Godrej Agrovet Limited,,
GODREJCP,Godrej Consumer Products Limited,Fast Moving Consumer Goods,NIFTY500
GODREJIND,Godrej Industries Limited,Diversified,NIFTY500
GODREJPROP,Godrej Properties Limited,Realty,NIFTY500
GOKEX,Gokaldas Exports Limited,,
GOKUL,Gokul Refoils and Solvent Limited,,
GOKULAGRO,Gokul Agro Resources Limited,,
GOLDIAM,Goldiam International Limited,,
GOODLUCK,Goodluck India Limited,,
GOODYEAR,Goodyear India Limited,,
GOPAL,Gopal Snacks Limited,,
GOYALALUM,Goyal Aluminiums Limited,,
GPIL,Godawari Power And Ispat limited,Capital Goods,NIFTY500
GPPL,Gujarat Pipavav Port Limited,,
GPTHEALTH,GPT Healthcare Limited,,
GPTINFRA,GPT Infraprojects Limited,,
GRADIENTE,Gradiente Infotainment Limited,,
GRANDOAK,Grand Oak Canyons Distillery Limited,,
GRANULES,Granules India Limited,Healthcare,NIFTY500
GRAPHITE,Graphite India Limited,Capital Goods,NIFTY500
GRASIM,Grasim Industries Limited,Construction Materials,NIFTY50|NIFTY500
GRAUWEIL,Grauer & Weil India Limited,,
GRAVISSHO,Graviss Hospitality Limited,,
GRAVITA,Gravita India Limited,Metals & Mining,NIFTY500
GREAVESCOT,Greaves Cotton Limited,,
GREENLAM,Greenlam Industries Limited,,
GREENPANEL,Greenpanel Industries Limited,,
GREENPLY,Greenply Industries Limited,,
GREENPOWER,Orient Green Power Company Limited,,
GRINDWELL,Grindwell Norton Limited,,
GRINFRA,G R Infraprojects Limited,,
GRMOVER,GRM Overseas Limited,,
GROBTEA,The Grob Tea Company Limited,,
GROWW,Billionbrains Garage Ventures Limited,Financial Services,NIFTY500
GRPLTD,GRP Limited,,
GRSE,Garden Reach Shipbuilders & Engineers Limited,Capital Goods,NIFTY500
GRWRHITECH,Garware Hi-Tech Films Limited,,
GSFC,Gujarat State Fertilizers & Chemicals Limited,,
GSLSU,Global Surfaces Limited,,
GSPCROP,GSP Crop Science Limited,,
GSS,GSS Infotech Limited,,
GTL,GTL Limited,,
GTLINFRA,GTL Infrastructure Limited,,
GTPL,GTPL Hathway Limited,,
GUFICBIO,Gufic Biosciences Limited,,
GUJALKALI,Gujarat Alkalies and Chemicals Limited,,
GUJAPOLLO,Gujarat Apollo Industries Limited,,
GUJENERGY,GUJARAT ENERGY LIMITED,,
GUJRAFFIA,Gujarat Raffia Industries Limited,,
GUJTHEM,Gujarat Themis Biosyn Limited,,
GULFOILLUB,Gulf Oil Lubricants India Limited,,
GULPOLY,Gulshan Polyols Limited,,
GVPIL,GE Power India Limited,,
GVPTECH,GVP Infotech Limited,,
GVT&D,GE Vernova T&D India Limited,Capital Goods,NIFTY500
GYFTR,Gyftr Limited,,
HAL,Hindustan Aeronautics Limited,Capital Goods,NIFTY500
HALDER,Halder Venture Limited,,
HALEOSLABS,HALEOS LABS LIMITED,,
HAPPSTMNDS,Happiest Minds Technologies Limited,,
HAPPYFORGE,Happy Forgings Limited,,
HARDWYN,Hardwyn India Limited,,
HARIOMPIPE,Hariom Pipe Industries Limited,,
HARRMALAYA,Harrisons  Malayalam Limited,,
HARSHA,Harsha Engineers International Limited,,
HATHWAY,Hathway Cable & Datacom Limited,,
HATSUN,Hatsun Agro Product Limited,,
HAVELLS,Havells India Limited,Consumer Durables,NIFTY500
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,,
HAWKINCOOK,Hawkins Cookers Limited,,
HBESD,HB Estate Developers Limited,,
HBLENGINE,HBL Engineering Limited,Capital Goods,NIFTY500
HBSL,HB Stockholdings Limited,,
HCC,Hindustan Construction Company Limited,,
HCG,Healthcare Global Enterprises Limited,,
HCL-INSYS,HCL Infosystems Limited,,
HCLTECH,HCL Technologies Limited,Information Technology,NIFTY50|NIFTY500
HDBFS,HDB Financial Services Limited,Financial Services,NIFTY500
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,NIFTY500
HDFCBANK,HDFC Bank Limited,Financial Services,NIFTY50|NIFTY500
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,NIFTY50|NIFTY500
HEADSUP,Heads UP Ventures Limited,,
HEALTHX,Health X Platform Limited,,
HECPROJECT,HEC Infra Projects Limited,,
HEG,HEG Limited,Capital Goods,NIFTY500
HEIDELBERG,HeidelbergCement India Limited,,
HEMIPROP,Hemisphere Properties India Limited,,
HERANBA,Heranba Industries Limited,,
HERITGFOOD,Heritage Foods Limited,,
HEROMOTOCO,Hero MotoCorp Limited,Automobile and Auto Components,NIFTY500
HESTERBIO,Hester Biosciences Limited,,
HEXATRADEX,Hexa Tradex Limited,,
HEXT,Hexaware Technologies Limited,Information Technology,NIFTY500
HFCL,HFCL Limited,Telecommunication,NIFTY500
HGINFRA,H.G. Infra Engineering Limited,,
HGM,HandsOn Global Management (HGM) Limited,,
HGS,Hinduja Global Solutions Limited,,
HIKAL,Hikal Limited,,
HILINFRA,Highway Infrastructure Limited,,
HIMATSEIDE,Himatsingka Seide Limited,,
HINDALCO,Hindalco Industries Limited,Metals & Mining,NIFTY50|NIFTY500
HINDCOMPOS,Hindustan Composites Limited,,
HINDCON,Hindcon Chemicals Limited,,
HINDCOPPER,Hindustan Copper Limited,Metals & Mining,NIFTY500
HINDOILEXP,Hindustan Oil Exploration Company Limited,,
HINDPETRO,Hindustan Petroleum Corporation Limited,Oil Gas & Consumable Fuels,NIFTY500
HINDUNILVR,Hindustan Unilever Limited,Fast Moving Consumer Goods,NIFTY50|NIFTY500
HINDWAREAP,Hindware Home Innovation Limited,,
HINDZINC,Hindustan Zinc Limited,Metals & Mining,NIFTY500
HIRECT,Hind Rectifiers Limited,,
HISARMETAL,Hisar Metal Industries Limited,,
HITECH,Hi-Tech Pipes Limited,,
HLEGLAS,HLE Glascoat Limited,,
HLVLTD,HLV LIMITED,,
HMAAGRO,HMA Agro Industries Limited,,
HNDFDS,Hindustan Foods Limited,,
HOMEFIRST,Home First Finance Company India Limited,Financial Services,NIFTY500
HONASA,Honasa Consumer Limited,Fast Moving Consumer Goods,NIFTY500
HONAUT,Honeywell Automation India Limited,Capital Goods,NIFTY500
HONDAPOWER,Honda India Power Products Limited,,
HPAL,HP Adhesives Limited,,
HPIL,Hindprakash Industries Limited,,
HPL,HPL Electric & Power Limited,,
HSCL,Himadri Speciality Chemical Limited,Chemicals,NIFTY500
HTMEDIA,HT Media Limited,,
HUBTOWN,Hubtown Limited,,
HUDCO,Housing & Urban Development Corporation Limited,Financial Services,NIFTY500
HUHTAMAKI,Huhtamaki India Limited,,
HYUNDAI,Hyundai Motor India Limited,Automobile and Auto Components,NIFTY500
IBULLSLTD,Indiabulls Limited,,
ICDSLTD,ICDS Limited,,
ICEMAKE,Ice Make Refrigeration Limited,,
ICICIAMC,ICICI Prudential Asset Management Company Limited,Financial Services,NIFTY500
ICICIBANK,ICICI Bank Limited,Financial Services,NIFTY50|NIFTY500
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services,NIFTY500
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services,NIFTY500
ICIL,Indo Count Industries Limited,,
ICRA,ICRA Limited,,
IDBI,IDBI Bank Limited,Financial Services,NIFTY500
IDEA,Vodafone Idea Limited,Telecommunication,NIFTY500
IDEAFORGE,Ideaforge Technology Limited,,
IDFCFIRSTB,IDFC First Bank Limited,Financial Services,NIFTY500
IEX,Indian Energy Exchange Limited,Financial Services,NIFTY500
IFBIND,IFB Industries Limited,,
IFCI,IFCI Limited,Financial Services,NIFTY500
IFGLEXPOR,IFGL Refractories Limited,,
IGARASHI,Igarashi Motors India Limited,,
IGCL,Indogulf Cropsciences Limited,,
IGIL,International Gemological Institute Limited,Services,NIFTY500
IGL,Indraprastha Gas Limited,Oil Gas & Consumable Fuels,NIFTY500
IGPL,IG Petrochemicals Limited,,
IIFL,IIFL Finance Limited,Financial Services,NIFTY500
IIFLCAPS,IIFL Capital Services Limited,,
IITL,Industrial Investment Trust Limited,,
IKIO,IKIO Technologies Limited,,
IKS,Inventurus Knowledge Solutions Limited,Information Technology,NIFTY500
IMAGICAA,Imagicaaworld Entertainment Limited,,
IMFA,Indian Metals & Ferro Alloys Limited,,
IMPAL,India Motor Parts and Accessories Limited,,
INA,Insolation Energy Limited,,
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,,
INDBANK,Indbank Merchant Banking Services Limited,,
INDGN,Indegene Limited,Healthcare,NIFTY500
INDHOTEL,The Indian Hotels Company Limited,Consumer Services,NIFTY500
INDIACEM,The India Cements Limited,Construction Materials,NIFTY500
INDIAGLYCO,India Glycols Limited,,
INDIAMART,Indiamart Intermesh Limited,Consumer Services,NIFTY500
INDIANB,Indian Bank,Financial Services,NIFTY500
INDIANCARD,Indian Card Clothing Company Limited,,
INDIANHUME,Indian Hume Pipe Company Limited,,
INDIASHLTR,India Shelter Finance Corporation Limited,,
INDIGO,InterGlobe Aviation Limited,Services,NIFTY50|NIFTY500
INDIGOPNTS,Indigo Paints Limited,,
INDIQUBE,Indiqube Spaces Limited,,
INDNIPPON,India Nippon Electricals Limited,,
INDOBORAX,Indo Borax & Chemicals Limited,,
INDOCO,Indoco Remedies Limited,,
INDOFARM,Indo Farm Equipment Limited,,
INDOMIM,INDO-MIM Limited,,
INDORAMA,Indo Rama Synthetics (India) Limited,,
INDOSTAR,IndoStar Capital Finance Limited,,
INDOTECH,Indo Tech Transformers Limited,,
INDOTHAI,Indo Thai Securities Limited,,
INDOUS,Indo Us Biotech Limited,,
INDOWIND,Indowind Energy Limited,,
INDPRUD,Industrial & Prudential Investment Company Limited,,
INDRAMEDCO,Indraprastha Medical Corporation Limited,,
INDSWFTLAB,Ind-Swift Laboratories Limited,,
INDTERRAIN,Indian Terrain Fashions Limited,,
INDUSINDBK,IndusInd Bank Limited,Financial Services,NIFTY500
INDUSTOWER,Indus Towers Limited,Telecommunication,NIFTY500
INFOBEAN,InfoBeans Technologies Limited,,
INFOMEDIA,Infomedia Press Limited,,
INFY,Infosys Limited,Information Technology,NIFTY50|NIFTY500
INGERRAND,Ingersoll Rand (India) Limited,,
INNOVACAP,Innova Captab Limited,,
INNOVANA,Innovana Thinklabs Limited,,
INNOVISION,Innovision Limited,,
INOXGREEN,Inox Green Energy Services Limited,,
INOXINDIA,INOX India Limited,,
INOXWIND,Inox Wind Limited,Capital Goods,NIFTY500
INSECTICID,Insecticides (India) Limited,,
INTELLECT,Intellect Design Arena Limited,Information Technology,NIFTY500
INTENTECH,Intense Technologies Limited,,
INTERARCH,Interarch Building Solutions Limited,,
INTLCONV,International Conveyors Limited,,
INVENTURE,Inventure Growth & Securities Limited,,
IOB,Indian Overseas Bank,Financial Services,NIFTY500
IOC,Indian Oil Corporation Limited,Oil Gas & Consumable Fuels,NIFTY500
IOLCP,IOL Chemicals and Pharmaceuticals Limited,,
IONEXCHANG,ION Exchange (India) Limited,,
IPCALAB,IPCA Laboratories Limited,Healthcare,NIFTY500
IPL,India Pesticides Limited,,
IRB,IRB Infrastructure Developers Limited,Construction,NIFTY500
IRCON,Ircon International Limited,Construction,NIFTY500
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Consumer Services,NIFTY500
IREDA,Indian Renewable Energy Development Agency Limited,Financial Services,NIFTY500
IRFC,Indian Railway Finance Corporation Limited,Financial Services,NIFTY500
IRIS,IRIS RegTech Solutions Limited,,
IRISDOREME,Iris Clothings Limited,,
IRMENERGY,IRM Energy Limited,,
ISFT,Intrasoft Technologies Limited,,
ISGEC,Isgec Heavy Engineering Limited,,
ISHANCH,Ishan Dyes and Chemicals Limited,,
ITC,ITC Limited,Fast Moving Consumer Goods,NIFTY50|NIFTY500
ITCHOTELS,ITC Hotels Limited,Consumer Services,NIFTY500
ITDC,India Tourism Development Corporation Limited,,
ITI,ITI Limited,Telecommunication,NIFTY500
IVALUE,Ivalue Infosolutions Limited,,
IVC,IL&FS Investment Managers Limited,,
IWP,The Indian Wood Products Company Limited,,
IXIGO,Le Travenues Technology Limited,,
IZMO,IZMO Limited,,
J&KBANK,The Jammu & Kashmir Bank Limited,Financial Services,NIFTY500
JAGRAN,Jagran Prakashan Limited,,
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,,
JAIBALAJI,Jai Balaji Industries Limited,,
JAICORPLTD,Jai Corp Limited,,
JAINREC,Jain Resource Recycling Limited,Metals & Mining,NIFTY500
JAIPURKURT,Nandani Creation Limited,,
JAMNAAUTO,Jamna Auto Industries Limited,,
JARO,Jaro Institute of Technology Management and Research Limited,,
JASH,Jash Engineering Limited,,
JAYAGROGN,Jayant Agro Organics Limited,,
JAYBARMARU,Jay Bharat Maruti Limited,,
JAYKAY,Jaykay Enterprises Limited,,
JAYNECOIND,Jayaswal Neco Industries Limited,,
JAYSREETEA,Jayshree Tea & Industries Limited,,
JBMA,JBM Auto Limited,Automobile and Auto Components,NIFTY500
JETFREIGHT,Jet Freight Logistics Limited,,
JGCHEM,J.G.Chemicals Limited,,
JHS,JHS Svendgaard Laboratories Limited,,
JINDALPHOT,Jindal Photo Limited,,
JINDALPOLY,Jindal Poly Films Limited,,
JINDALSAW,Jindal Saw Limited,Capital Goods,NIFTY500
JINDALSTEL,JINDAL STEEL LIMITED,Metals & Mining,NIFTY500
JINDRILL,Jindal Drilling And Industries Limited,,
JINDWORLD,Jindal Worldwide Limited,,
JIOFIN,Jio Financial Services Limited,Financial Services,NIFTY50|NIFTY500
JISLDVREQS,Jain Irrigation Systems Limited,,
JISLJALEQS,Jain Irrigation Systems Limited,,
JITFINFRA,JITF Infralogistics Limited,,
JKCEMENT,JK Cement Limited,Construction Materials,NIFTY500
JKIL,J.Kumar Infraprojects Limited,,
JKIPL,Jinkushal Industries Limited,,
JKLAKSHMI,JK Lakshmi Cement Limited,,
JKPAPER,JK Paper Limited,,
JKTYRE,JK Tyre & Industries Limited,Automobile and Auto Components,NIFTY500
JLHL,Jupiter Life Line Hospitals Limited,,
JMA,Jullundur Motor Agency (Delhi) Limited,,
JMFINANCIL,JM Financial Limited,Financial Services,NIFTY500
JNKINDIA,JNK India Limited,,
JNPR,Juniper Green Energy Limited,,
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,,
JPPOWER,Jaiprakash Power Ventures Limited,Power,NIFTY500
JSFB,Jana Small Finance Bank Limited,,
JSL,Jindal Stainless Limited,Metals & Mining,NIFTY500
JSLL,Jeena Sikho Lifecare Limited,,
JSWCEMENT,JSW Cement Limited,Construction Materials,NIFTY500
JSWDULUX,JSW Dulux Limited,Consumer Durables,NIFTY500
JSWENERGY,JSW Energy Limited,Power,NIFTY500
JSWHL,JSW Holdings Limited,,
JSWINFRA,JSW Infrastructure Limited,Services,NIFTY500
JSWSTEEL,JSW Steel Limited,Metals & Mining,NIFTY50|NIFTY500
JTEKTINDIA,Jtekt India Limited,,
JTLIND,JTL INDUSTRIES LIMITED,,
JUBLCPL,Jubilant Agri and Consumer Products Limited,,
JUBLFOOD,Jubilant Foodworks Limited,Consumer Services,NIFTY500
JUBLINGREA,Jubilant Ingrevia Limited,Chemicals,NIFTY500
JUBLPHARMA,Jubilant Pharmova Limited,Healthcare,NIFTY500
JUNIPER,Juniper Hotels Limited,,
JUSTDIAL,Just Dial Limited,,
JWL,Jupiter Wagons Limited,Capital Goods,NIFTY500
JYOTHYLAB,Jyothy Labs Limited,,
JYOTICNC,Jyoti CNC Automation Limited,Capital Goods,NIFTY500
JYOTISTRUC,Jyoti Structures Limited,,
KABRAEXTRU,Kabra Extrusion Technik Limited,,
KAJARIACER,Kajaria Ceramics Limited,Consumer Durables,NIFTY500
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,,
KALAMANDIR,Sai Silks (Kalamandir) Limited,,
KALPATARU,Kalpataru Limited,,
KALYANIFRG,Kalyani Forge Limited,,
KALYANKJIL,Kalyan Jewellers India Limited,Consumer Durables,NIFTY500
KAMAHOLD,Kama Holdings Limited,,
KAMATHOTEL,Kamat Hotels (I) Limited,,
KAMOPAINTS,Kamdhenu Ventures Limited,,
KANANIIND,Kanani Industries Limited,,
KANCHI,Kanchi Karpooram Limited,,
KANPRPLA,Kanpur Plastipack Limited,,
KANSAINER,Kansai Nerolac Paints Limited,,
KAPSTON,Kapston Services Limited,,
KARMAENG,Karma Energy Limited,,
KARURVYSYA,Karur Vysya Bank Limited,Financial Services,NIFTY500
KAVDEFENCE,Kavveri Defence & Wireless Technologies Limited,,
KAYA,Kaya Limited,,
KAYNES,Kaynes Technology India Limited,Capital Goods,NIFTY500
KCP,KCP Limited,,
KDDL,KDDL Limited,,
KEC,KEC International Limited,Construction,NIFTY500
KECL,Kirloskar Electric Company Limited,,
KEEPLEARN,DSJ Keep Learning Limited,,
KEI,KEI Industries Limited,Capital Goods,NIFTY500
KELLTONTEC,Kellton Tech Solutions Limited,,
KENNAMET,Kennametal India Limited,,
KERNEX,Kernex Microsystems (India) Limited,,
KEYFINSERV,Keynote Financial Services Limited,,
KFINTECH,Kfin Technologies Limited,Financial Services,NIFTY500
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,,
KHAITANLTD,Khaitan (India) Limited,,
KHANDSE,Khandwala Securities Limited,,
KICL,Kalyani Investment Company Limited,,
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare,NIFTY500
KINGFA,Kingfa Science & Technology (India) Limited,,
KIOCL,KIOCL Limited,,
KIRANVYPAR,Kiran Vyapar Limited,,
KIRIINDUS,Kiri Industries Limited,,
KIRLFER,Kirloskar Ferrous Industries Limited,,
KIRLOSBROS,Kirloskar Brothers Limited,,
KIRLOSENG,Kirloskar Oil Engines Limited,Capital Goods,NIFTY500
KIRLOSIND,Kirloskar Industries Limited,,
KIRLPNU,Kirloskar Pneumatic Company Limited,,
KISSHT,OnEMI Technology Solutions Limited,,
KITEX,Kitex Garments Limited,,
KKCL,Kewal Kiran Clothing Limited,,
KLBRENG-B,Kilburn Engineering Limited,,
KMEW,Knowledge Marine & Engineering Works Limited,,
KMSUGAR,K.M.Sugar Mills Limited,,
KNACK,Knack Packaging Limited,,
KNAGRI,KN Agri Resources Limited,,
KNRCON,KNR Constructions Limited,,
KOHINOOR,Kohinoor Foods Limited,,
KOKUYOCMLN,Kokuyo Camlin Limited,,
KOLTEPATIL,Kolte - Patil Developers Limited,,
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services,NIFTY50|NIFTY500
KOTARISUG,Kothari Sugars And Chemicals Limited,,
KOTHARIPET,Kothari Petrochemicals Limited,,
KOTHARIPRO,Kothari Products Limited,,
KOTIC,Kothari Industrial Corporation Limited,,
KOVAI,Kovai Medical Center & Hospital Limited,,
KPEL,K.P. Energy Limited,,
KPIGREEN,KPI Green Energy Limited,,
KPIL,Kalpataru Projects International Limited,Construction,NIFTY500
KPITTECH,KPIT Technologies Limited,Information Technology,NIFTY500
KPL,Kwality Pharmaceuticals Limited,,
KPRMILL,K.P.R. Mill Limited,Textiles,NIFTY500
KRBL,KRBL Limited,,
KREBSBIO,Krebs Biochemicals and Industries Limited,,
KRISHANA,Krishana Phoschem Limited,,
KRISHIVAL,Krishival Foods Limited,,
KRISHNADEF,Krishna Defence And Allied Industries Limited,,
KRITI,Kriti Industries (India) Limited,,
KRITIKA,Kritika Wires Limited,,
KRITINUT,Kriti Nutrients Limited,,
KRN,KRN Heat Exchanger and Refrigeration Limited,,
KRONOX,Kronox Lab Sciences Limited,,
KROSS,Kross Limited,,
KRSNAA,Krsnaa Diagnostics Limited,,
KRYSTAL,Krystal Integrated Services Limited,,
KSB,Ksb Limited,,
KSCL,Kaveri Seed Company Limited,,
KSHINTL,KSH International Limited,,
KSHITIJPOL,Kshitij Polyline Limited,,
KSL,Kalyani Steels Limited,,
KSOLVES,Ksolves India Limited,,
KSR,KSR Footwear Limited,,
KTKBANK,The Karnataka Bank Limited,,
KUANTUM,Kuantum Papers Limited,,
KUSUMGAR,Kusumgar Limited,,
KWIL,Kwality Wall's (India) Limited,,
LAGNAM,Lagnam Spintex Limited,,
LAHOTIOV,Lahoti Overseas Limited,,
LAL,Lorenzini Apparels Limited,,
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,NIFTY500
LAMBODHARA,Lambodhara Textiles Limited,,
LANCORHOL,Lancor Holdings Limited,,
LANDMARK,Landmark Cars Limited,,
LANDSMILL,Landsmill Green Limited,,
LAOPALA,La Opala RG Limited,,
